videoArchiveName,General Location,Deployment ID,Camera  type,Platform,Camera orientation,Depth,"Lat ",Long,Notes,,
Tripod Pulse 71 Solo-2,Station M,Pulse 71,Digital,Tripod Solo,Far field,,35.01557617,-122.9367667,,,
Tripod Pulse 71 Solo-3,Station M,Pulse 71,Digital,Tripod Solo,Far field,,35.01557617,-122.9367667,,,
Tripod Pulse 71 Solo-4,Station M,Pulse 71,Digital,Tripod Solo,Far field,,35.01557617,-122.9367667,,,
Tripod Pulse 72 Dual Far-1,Station M,Pulse 72,Digital,Tripod Dual,Far field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Far-2,Station M,Pulse 72,Digital,Tripod Dual,Far field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Far-3,Station M,Pulse 72,Digital,Tripod Dual,Far field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Far-4,Station M,Pulse 72,Digital,Tripod Dual,Far field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Far-5,Station M,Pulse 72,Digital,Tripod Dual,Far field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Far-6,Station M,Pulse 72,Digital,Tripod Dual,Far field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Far-7,Station M,Pulse 72,Digital,Tripod Dual,Far field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Far-8,Station M,Pulse 72,Digital,Tripod Dual,Far field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Near-1,Station M,Pulse 72,Digital,Tripod Dual,Near field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Near-2,Station M,Pulse 72,Digital,Tripod Dual,Near field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Near-3,Station M,Pulse 72,Digital,Tripod Dual,Near field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Near-4,Station M,Pulse 72,Digital,Tripod Dual,Near field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Near-5,Station M,Pulse 72,Digital,Tripod Dual,Near field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Near-6,Station M,Pulse 72,Digital,Tripod Dual,Near field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Near-7,Station M,Pulse 72,Digital,Tripod Dual,Near field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Dual Near-8,Station M,Pulse 72,Digital,Tripod Dual,Near field,,35.121125,-122.9691617,,,
Tripod Pulse 72 Solo-1,Station M,Pulse 72,Digital,Tripod Solo,Far field,,35.14610333,-122.9494167,,,
Tripod Pulse 72 Solo-2,Station M,Pulse 72,Digital,Tripod Solo,Far field,,35.14610333,-122.9494167,,,
Tripod Pulse 72 Solo-3,Station M,Pulse 72,Digital,Tripod Solo,Far field,,35.14610333,-122.9494167,,,
Tripod Pulse 72 Solo-4,Station M,Pulse 72,Digital,Tripod Solo,Far field,,35.14610333,-122.9494167,,,
Tripod Pulse 72 Solo-5,Station M,Pulse 72,Digital,Tripod Solo,Far field,,35.14610333,-122.9494167,,,
Tripod Pulse 72 Solo-6,Station M,Pulse 72,Digital,Tripod Solo,Far field,,35.14610333,-122.9494167,,,
Tripod Pulse 72 Solo-7,Station M,Pulse 72,Digital,Tripod Solo,Far field,,35.14610333,-122.9494167,,,
Tripod Pulse 72 Solo-8,Station M,Pulse 72,Digital,Tripod Solo,Far field,,35.14610333,-122.9494167,,,
Tripod Pulse 73 Dual Far-1,Station M,Pulse 73,Digital,Tripod Dual,Far field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Far-2,Station M,Pulse 73,Digital,Tripod Dual,Far field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Far-3,Station M,Pulse 73,Digital,Tripod Dual,Far field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Far-4,Station M,Pulse 73,Digital,Tripod Dual,Far field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Far-5,Station M,Pulse 73,Digital,Tripod Dual,Far field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Far-6,Station M,Pulse 73,Digital,Tripod Dual,Far field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Far-7,Station M,Pulse 73,Digital,Tripod Dual,Far field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Far-8,Station M,Pulse 73,Digital,Tripod Dual,Far field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Near-1,Station M,Pulse 73,Digital,Tripod Dual,Near field,,35.11702667,-122.9669633,,,
